"CHROM"	"BEG"	"END"
"Scate-un72"	"1490613749"	"1490648578"
"Scate-un73"	"1490648579"	"1490822238"
"Scate-un74"	"1490822239"	"1490994775"
"Scate-un75"	"1490994776"	"1491163456"
"Scate-un76"	"1491163457"	"1491329958"
"Scate-un77"	"1491329959"	"1491495992"
"Scate-un78"	"1491495993"	"1491656461"
"Scate-un79"	"1491656462"	"1491816502"
"Scate-un80"	"1491816503"	"1491971474"
"Scate-un81"	"1491971475"	"1492124103"
"Scate-un82"	"1492124104"	"1492276360"
"Scate-un83"	"1492276361"	"1492427020"
"Scate-un84"	"1492427021"	"1492573455"
"Scate-un85"	"1492573456"	"1492718223"
"Scate-un86"	"1492718224"	"1492862518"
"Scate-un87"	"1492862519"	"1493005835"
"Scate-un88"	"1493005836"	"1493148130"
"Scate-un89"	"1493148131"	"1493289030"
"Scate-un90"	"1493289031"	"1493428688"
"Scate-un91"	"1493428689"	"1493568055"
"Scate-un92"	"1493568056"	"1493706176"
"Scate-un93"	"1493706177"	"1493843310"
"Scate-un94"	"1493843311"	"1493979737"
"Scate-un95"	"1493979738"	"1494115838"
"Scate-un96"	"1494115839"	"1494251315"
"Scate-un97"	"1494251316"	"1494383733"
"Scate-un98"	"1494383734"	"1494515581"
"Scate-un99"	"1494515582"	"1494647056"
"Scate-un100"	"1494647057"	"1494777950"
"Scate-un101"	"1494777951"	"1494908609"
"Scate-un102"	"1494908610"	"1495037834"
"Scate-un103"	"1495037835"	"1495166713"
"Scate-un104"	"1495166714"	"1495294165"
"Scate-un105"	"1495294166"	"1495420127"
"Scate-un106"	"1495420128"	"1495542888"
"Scate-un107"	"1495542889"	"1495664774"
"Scate-un108"	"1495664775"	"1495785262"
"Scate-un109"	"1495785263"	"1495902396"
"Scate-un110"	"1495902397"	"1496018885"
"Scate-un111"	"1496018886"	"1496133074"
"Scate-un112"	"1496133075"	"1496247259"
"Scate-un113"	"1496247260"	"1496361328"
"Scate-un114"	"1496361329"	"1496473921"
"Scate-un115"	"1496473922"	"1496585964"
"Scate-un116"	"1496585965"	"1496697199"
"Scate-un117"	"1496697200"	"1496807279"
"Scate-un118"	"1496807280"	"1496916048"
"Scate-un119"	"1496916049"	"1497024300"
"Scate-un120"	"1497024301"	"1497132044"
"Scate-un121"	"1497132045"	"1497238765"
"Scate-un122"	"1497238766"	"1497344725"
"Scate-un123"	"1497344726"	"1497450640"
"Scate-un124"	"1497450641"	"1497556389"
"Scate-un125"	"1497556390"	"1497661115"
"Scate-un126"	"1497661116"	"1497764670"
"Scate-un127"	"1497764671"	"1497865637"
"Scate-un128"	"1497865638"	"1497966387"
"Scate-un129"	"1497966388"	"1498066768"
"Scate-un130"	"1498066769"	"1498166974"
"Scate-un131"	"1498166975"	"1498266623"
"Scate-un132"	"1498266624"	"1498365550"
"Scate-un133"	"1498365551"	"1498462861"
"Scate-un134"	"1498462862"	"1498560008"
"Scate-un135"	"1498560009"	"1498655571"
"Scate-un136"	"1498655572"	"1498750677"
"Scate-un137"	"1498750678"	"1498845232"
"Scate-un138"	"1498845233"	"1498938139"
"Scate-un139"	"1498938140"	"1499030683"
"Scate-un140"	"1499030684"	"1499122448"
"Scate-un141"	"1499122449"	"1499214100"
"Scate-un142"	"1499214101"	"1499304986"
"Scate-un143"	"1499304987"	"1499394229"
"Scate-un144"	"1499394230"	"1499482901"
"Scate-un145"	"1499482902"	"1499571005"
"Scate-un146"	"1499571006"	"1499656338"
"Scate-un147"	"1499656339"	"1499741590"
"Scate-un148"	"1499741591"	"1499825578"
"Scate-un149"	"1499825579"	"1499909048"
"Scate-un150"	"1499909049"	"1499992305"
"Scate-un151"	"1499992306"	"1500075409"
"Scate-un152"	"1500075410"	"1500158275"
"Scate-un153"	"1500158276"	"1500240708"
"Scate-un154"	"1500240709"	"1500323136"
"Scate-un155"	"1500323137"	"1500405396"
"Scate-un156"	"1500405397"	"1500487548"
"Scate-un157"	"1500487549"	"1500569599"
"Scate-un158"	"1500569600"	"1500651608"
"Scate-un159"	"1500651609"	"1500732546"
"Scate-un160"	"1500732547"	"1500813473"
